                           GameCube Game List.

    ----------------------------------------------------------------------------
    N    Game Title                                         Release Date  GameID
    ----------------------------------------------------------------------------

    Year 2001 (20 games).

    0116 FIFA Soccer 2003 (GCN)                             11/06/2002  
    0117 Spyro: Enter the Dragonfly                         11/08/2002     
    0118 Cubivore                                           11/08/2002    
    0119 Zapper (GCN)                                       11/09/2002  
    0120 Fire Blade                                         11/09/2002  
    0121 Medal of Honor: Frontline                          11/09/2002    
    0122 Defender                                           11/10/2002    
    0123 Sonic Mega Collection                              11/11/2002     
    0124 Whirl Tour                                         11/11/2002     
    0125 Resident Evil Zero                                 11/11/2002  
    0126 NASCAR: Dirt To Daytona                            11/11/2002    
    0127 Wreckless: The Yakuza Missions                     11/12/2002     
    0128 Evolution Skateboarding                            11/12/2002   
    0129 Hot Wheels Velocity X                              11/12/2002 
    0130 Disney Sports Skateboarding                        11/13/2002  
    0131 Disney Sports Soccer                               11/13/2002 
    0132 Darkened Skye                                      11/13/2002      
    0133 Harry Potter and the Chamber of Secrets (GCN)      11/15/2002 
    0134 James Bond 007: NightFire                          11/15/2002  
    0135 Rocky (GCN)                                        11/16/2002 
    0136 Die Hard: Vendetta                                 11/18/2002  
    0137 Metroid Prime                                      11/18/2002      
    0138 Nickelodeon Party Blast (GCN)                      11/20/2002   
    0139 Minority Report (GCN)                              11/20/2002 
    0140 Monopoly Party                                     11/20/2002  
    0141 Star Wars Jedi Knight II: Jedi Outcast             11/20/2002   
    0142 Mortal Kombat: Deadly Alliance                     11/20/2002     
    0143 Hunter: The Reckoning                              11/20/2002 
    0144 Baldur's Gate: Dark Alliance                       11/20/2002  
    0145 Dead to Rights                                     11/25/2002 
    0146 Rugrats: Royal Ransom                              11/26/2002 
    0147 Street Hoops                                       11/26/2002  
    0148 Mary-Kate and Ashley Sweet 16: Licensed to Drive (GCN)  11/26/2002 
    0149 Tiger Woods PGA Tour 2003                          11/29/2002  
    0150 BMX XXX                                            11/29/2002  
    0151 Reign of Fire (GCN)                                11/30/2002  
    0152 Legends of Wrestling II                            11/30/2002  
    0153 Monster Jam: Maximum Destruction                   12/01/2002  
    0154 Disney's PK: Out of the Shadows                    12/01/2002 
    0155 Dr. Muto                                           12/01/2002    
    0156 Evolution Worlds                                   12/02/2002 
    0157 Frogger Beyond                                     12/02/2002 
    0158 Disney Sports Football                             12/10/2002  
    0159 SEGA Sports NHL 2K3                                12/10/2002  
    0160 Sega Sports NCAA College Basketball 2K3            12/10/2002
    0161 Blood Omen 2                                       12/11/2002  
    0162 SpongeBob SquarePants: Revenge of the Flying Dutchman(GCN)  12/16/2002  
    0163 Adventures of Jimmy Neutron Boy Genius, The        12/17/2002 
    0164 Super Bubble Pop                                   12/20/2002 
    0165 Lord of the Rings: The Two Towers                  12/30/2002 
    0166 Dragon's Lair 3D                                   12/30/2002 

    Year 2003 (135 games).

    0167 Resident Evil 2 (GCN)                              01/14/2003  
    Resident Evil 3: Nemesis                                01/14/2003     
    Tom Clancy's The Sum Of All Fears (GCN)                 01/14/2003  
    ATV: Quad Power Racing 2                                01/25/2003  
    Skies of Arcadia Legends                                01/28/2003    
    Summoner: A Goddess Reborn                              02/04/2003  
    Tom Clancy's Ghost Recon                                02/12/2003  
    Bust-a-Move 3000                                        02/12/2003  
    Vexx                                                    02/12/2003 
    Cubix Robots for Everyone: Showdown                     02/15/2003   
    Legend of Zelda, The: Ocarina of Time Master Quest      02/16/2003   
    Evolution Snowboarding                                  02/26/2003 
    All-Star Baseball 2004 (GCN)                            02/27/2003  
    Rayman 3: Hoodlum Havoc                                 03/05/2003   
    Disney Sports Basketball                                03/14/2003    
    Transworld Surf: Next Wave                              03/14/2003    
    WWE Crush Hour                                          03/18/2003  
    Piglet's BIG Game (GCN)                                 03/19/2003    
    MLB Slugfest 20-04                                      03/19/2003    
    Batman: Dark Tomorrow                                   03/19/2003  
    Legend of Zelda, The: The Wind Waker                    03/24/2003    
    Sims, The                                               03/24/2003 
    Army Men Air Combat: The Elite Missions                 03/26/2003 
    Superman: Shadow of the Apokolips (GCN)                 03/28/2003   
