                           GameCube Game List.

    ----------------------------------------------------------------------------
    N    Game Title                                         Release Date  GameID
    ----------------------------------------------------------------------------

    Year 2001 (20 games).

    Kao the Kangaroo Round 2    Action     E   03/21/2006   
    Harvest Moon: Magical Melody    RPG        E   03/28/2006  
    2006 FIFA World Cup     Soccer, Sports     E   04/06/2006 
    Odama   Pinball, Strategy      E 10+   04/10/2006  
    Rampage: Total Destruction  Action     E 10+   04/25/2006     
    Over the Hedge  Action     E 10+   05/09/2006 
    X-Men: The Official Game    Action     T   05/16/2006 
    Teen Titans     Action     E 10+   05/24/2006    
    Disney/Pixar Cars   Racing     E   06/06/2006  
    Major League Baseball 2K6   Baseball, Sports       E   06/12/2006    
    Monster House   Action     E 10+   07/18/2006 
    Ant Bully, The  Adventure      E 10+   07/24/2006   
    Barnyard    Action     E 10+   08/01/2006 
    Super Monkey Ball Adventure     Action, Adventure, Puzzles     E   08/01/2006     
    Pac-Man World Rally     Racing     E   08/22/2006  
    Madden NFL 07   Football       E   08/22/2006  
    One Piece: Grand Adventure  Action, Fighting       T   08/29/2006   
    Baten Kaitos Origins    RPG        T   09/06/2006    
    One Piece: Pirates Carnival     Action     E   09/12/2006  
    Lego Star Wars II: The Original Trilogy     Action     E 10+   09/12/2006    
    Open Season     Action, Adventure      E 10+   09/19/2006 
    Baten Kaitos Origins    RPG        T   09/25/2006    
    Grim Adventures of Billy and Mandy  Action     E 10+   09/26/2006    
    Naruto: Clash of Ninja 2    Fighting       T   09/26/2006     
    FIFA Soccer 07  Soccer     E   10/03/2006 
    Legend of Spyro, The: A New Beginning   Action     E 10+   10/10/2006 
    Avatar: The Last Airbender  Action     E 10+   10/10/2006
    SpongeBob SquarePants: Creature from the Krusty Krab    Action     E   10/17/2006 
    Sims 2, The: Pets   Simulation     T   10/17/2006 
    Dreamworks' Flushed Away    Action     E   10/17/2006 
    Nicktoons: Battle for Volcano Island    Action     E   10/24/2006 
    Bratz: Forever Diamondz     Simulation     E   10/24/2006 
    Tom Clancy's Splinter Cell: Double Agent    Action     M   10/24/2006 
    Need for Speed: Carbon  Racing     E 10+   10/31/2006 
    Lara Croft Tomb Raider: Legend  Action     T   11/14/2006  
    Happy Feet  Adventure      E   11/14/2006 
    Bionicle Heroes     Action     E 10+   11/14/2006  
    Zatch Bell!: Mamodo Fury    Fighting       T   12/05/2006   
    Legend of Zelda, The: Twilight Princess     Adventure      T   12/11/2006 

    Year 2007 (5 games).

    TMNT    Action     E 10+   03/20/2007  Ubisoft  
    Backyard Baseball 2007  Baseball, Sports       E   03/23/2007
    Disney's Meet the Robinsons     Action     E 10+   03/27/2007 
    Surf's Up   Sports, Surfing        E 10+   05/07/2007 
    Ratatouille (GCN)   Action     E   06/26/2007 

    ---------------------------------------------------------------------------

    542 games total.
    Based on http://www.nintendo.com/consumer/gameslist/gamelist.jsp

    Last updated 2 Dec 2010
